"","word","freq"
"rapaziada","rapaziada",14
"reds","reds",14
"sabemos","sabemos",14
"sinceramente","sinceramente",14
"sofrendo","sofrendo",14
"sonaldothfc","sonaldothfc",14
"soube","soube",14
"souza","souza",14
"sucesso","sucesso",14
"tanta","tanta",14
"valer","valer",14
"acompanhar","acompanhar",13
"alis","alis",13
"atrao","atrao",13
"benzeman","benzeman",13
"bicho","bicho",13
"canal","canal",13
"claramente","claramente",13
"dava","dava",13
"david","david",13
"defendendo","defendendo",13
"despedida","despedida",13
"devem","devem",13
"difceis","difceis",13
"disputou","disputou",13
"diva","diva",13
"dono","dono",13
"educao","educao",13
"emissora","emissora",13
"excelente","excelente",13
"felipe","felipe",13
"ficaram","ficaram",13
"filme","filme",13
"garoto","garoto",13
"grandeza","grandeza",13
"gremio","gremio",13
"iagonvs","iagonvs",13
"kkkkkkkkkkkkk","kkkkkkkkkkkkk",13
"krl","krl",13
"lance","lance",13
"medocre","medocre",13
"melhorar","melhorar",13
"merecido","merecido",13
"mostrou","mostrou",13
"mourinho","mourinho",13
"naquela","naquela",13
"natanwesley","natanwesley",13
"nflamengo","nflamengo",13
"noo","noo",13
"olhar","olhar",13
"pegando","pegando",13
"pica","pica",13
"reclamar","reclamar",13
"revendo","revendo",13
"ridculo","ridculo",13
"romrio","romrio",13
"segurana","segurana",13
"sonhos","sonhos",13
"thibaut","thibaut",13
"tnt","tnt",13
"trazer","trazer",13
"ubisoft","ubisoft",13
"van","van",13
"var","var",13
"vei","vei",13
"veja","veja",13
"venceram","venceram",13
"venha","venha",13
"viram","viram",13
"volante","volante",13
"vontade","vontade",13
"abaixo","abaixo",12
"abel","abel",12
"acaso","acaso",12
"achou","achou",12
"adianta","adianta",12
"alvinegrololoco","alvinegrololoco",12
"anterior","anterior",12
"anulado","anulado",12
"aonde","aonde",12
"aquinosao","aquinosao",12
"arnold","arnold",12
"bando","bando",12
"caminho","caminho",12
"chora","chora",12
"classificado","classificado",12
"comigo","comigo",12
"conheo","conheo",12
